team,GS,GA,WA,C,WD,GD,GK,duration,absPlusMinus,per15PlusMinus
Swifts,S.Wallace,H.Housby,M.Proud,P.Hadley,S.Craig,L.Moore,S.Klau,55.63333333333333,6,1.6177351707609346
Vixens,M.Kumwenda,C.Thwaites,L.Watson,K.Moloney,K.Eddy,J.Weston,E.Mannix,120.85,13,1.613570541994208
Lightning,P.Proscovia,S.Wood,L.Scherian,L.Langman,M.McAuliffe,K.Pretorius,P.Maweni,48.21666666666667,5,1.555478741790529
Thunderbirds,L.Potgieter,G.Horjus,C.Pitman,M.Nankivell,S.van der Merwe,K.Shimmin,S.Sterling,92.18333333333334,8,1.3017537515819924
Firebirds,R.Aiken,T.Dwan,L.Dunkley,M.Cassidy,G.Simpson,K.Jenner,T.Hinchliffe,232.38333333333333,20,1.2909703794018503
Vixens,M.Kumwenda,C.Thwaites,L.Watson,K.Moloney,J.Weston,K.Eddy,E.Mannix,25.616666666666667,2,1.1711125569290826
GIANTS,J.Harten,K.Austin,M.Hay,J.Price,A.Parmenter,A.Brandley,S.Poolman,43.56666666666667,3,1.0328997704667175
Swifts,S.Wallace,H.Housby,M.Proud,T.Fraser,P.Hadley,S.Craig,S.Klau,15.0,1,1.0
Lightning,C.Koenen,S.Wood,L.Scherian,L.Langman,J.Russell,K.Pretorius,P.Maweni,135.41666666666666,9,0.9969230769230769
Magpies,S.Nelson,G.Sinclair,K.Browne,M.Browne,M.Jovic,M.Garrett,G.Mentor,15.983333333333333,1,0.9384775808133473
GIANTS,J.Harten,K.Austin,M.Hay,J.Price,A.Parmenter,K.Manu'a,S.Poolman,268.0833333333333,15,0.8392912651538702
Magpies,E.Ryde,G.Sinclair,M.Jovic,K.Altmann,J.Ward,M.Garrett,G.Mentor,18.833333333333332,1,0.7964601769911505
GIANTS,C.Bassett,J.Harten,K.Austin,J.Price,A.Parmenter,K.Manu'a,S.Poolman,175.1,9,0.7709880068532267
Magpies,S.Nelson,G.Sinclair,M.Browne,M.Jovic,M.Bragg,M.Garrett,G.Mentor,21.933333333333334,1,0.6838905775075987
Firebirds,R.Aiken,T.Dwan,J.Mi Mi,M.Cassidy,G.Simpson,K.Jenner,T.Hinchliffe,280.1166666666667,12,0.6425893972749449
Lightning,C.Koenen,S.Wood,L.Scherian,L.Langman,M.McAuliffe,K.Pretorius,P.Maweni,328.68333333333334,14,0.6389128340347853
GIANTS,J.Harten,K.Austin,M.Hay,J.Price,K.Manu'a,A.Brandley,S.Poolman,30.0,1,0.5
Lightning,P.Proscovia,S.Wood,L.Scherian,L.Langman,J.Russell,K.Pretorius,P.Maweni,32.81666666666667,1,0.457084814626714
Vixens,M.Kumwenda,T.Philip,T.Honey,K.Moloney,K.Eddy,J.Weston,E.Mannix,36.766666666666666,1,0.40797824116047143
Fever,J.Fowler,A.Teague-Neeld,V.Charles,J.Anstiss,S.Francis,S.Aryang,C.Bruce,46.93333333333333,1,0.31960227272727276
Magpies,S.Nelson,G.Sinclair,M.Jovic,T.Orr,M.Bragg,M.Garrett,G.Mentor,55.65,1,0.2695417789757412
Fever,J.Fowler,A.Teague-Neeld,E.Cosh,V.Charles,J.Anstiss,S.Aryang,C.Bruce,60.266666666666666,0,0.0
Vixens,M.Kumwenda,T.Philip,L.Watson,K.Moloney,K.Eddy,J.Weston,K.Dehaney,43.766666666666666,-1,-0.34272658035034276
Magpies,S.Nelson,G.Sinclair,M.Jovic,T.Orr,M.Bragg,J.Ward,G.Mentor,38.25,-1,-0.39215686274509803
Swifts,S.Wallace,H.Housby,M.Proud,P.Hadley,S.Craig,M.Turner,S.Klau,32.31666666666667,-1,-0.4641567818463125
Magpies,S.Nelson,G.Sinclair,K.Browne,M.Browne,M.Bragg,J.Ward,G.Mentor,90.6,-4,-0.6622516556291391
Thunderbirds,L.Potgieter,G.Horjus,M.Nankivell,H.Petty,S.van der Merwe,L.Guscoth,S.Sterling,39.166666666666664,-2,-0.7659574468085106
Fever,J.Fowler,K.Stanton,E.Cosh,V.Charles,J.Anstiss,S.Francis,C.Bruce,18.433333333333334,-1,-0.8137432188065099
Swifts,S.Wallace,H.Housby,N.Haythornthwaite,M.Proud,P.Hadley,L.Moore,S.Klau,36.85,-2,-0.8141112618724559
Swifts,H.Housby,S.Garbin,N.Haythornthwaite,M.Proud,P.Hadley,S.Craig,S.Klau,18.383333333333333,-1,-0.8159564823209429
Fever,J.Fowler,A.Teague-Neeld,I.Colyer,V.Charles,J.Anstiss,S.Francis,O.Lewis,66.05,-4,-0.9084027252081757
Thunderbirds,L.Potgieter,G.Horjus,C.Pitman,M.Nankivell,S.van der Merwe,L.Guscoth,S.Sterling,162.06666666666666,-12,-1.1106540518305226
Magpies,S.Nelson,G.Sinclair,K.Altmann,M.Jovic,M.Bragg,J.Ward,G.Mentor,147.86666666666667,-17,-1.7245266005410278
GIANTS,C.Bassett,J.Harten,K.Austin,J.Price,A.Parmenter,K.Manu'a,M.McDonell,16.833333333333332,-2,-1.7821782178217822
Thunderbirds,L.Potgieter,S.Gooden,G.Horjus,M.Nankivell,S.van der Merwe,L.Guscoth,S.Sterling,54.11666666666667,-7,-1.9402525408068985
Fever,J.Fowler,K.Stanton,I.Colyer,V.Charles,J.Anstiss,S.Francis,C.Bruce,15.366666666666667,-2,-1.9522776572668112
Magpies,S.Nelson,G.Sinclair,K.Browne,M.Jovic,M.Bragg,J.Ward,G.Mentor,68.2,-9,-1.9794721407624634
Vixens,M.Kumwenda,C.Thwaites,E.McDonald,K.Moloney,J.Weston,K.Eddy,K.Dehaney,21.616666666666667,-3,-2.0817270624518116
Magpies,S.Nelson,G.Sinclair,M.Jovic,K.Altmann,M.Bragg,J.Ward,G.Mentor,34.65,-5,-2.1645021645021645
Thunderbirds,L.Potgieter,G.Horjus,C.Pitman,H.Petty,M.Nankivell,L.Guscoth,S.Sterling,67.81666666666666,-10,-2.2118456623248957
Thunderbirds,L.Potgieter,S.Glasgow,G.Horjus,M.Nankivell,S.van der Merwe,L.Guscoth,S.Sterling,33.5,-5,-2.238805970149254
Swifts,S.Wallace,S.Garbin,N.Haythornthwaite,P.Hadley,S.Craig,M.Turner,S.Klau,37.266666666666666,-6,-2.415026833631485
Fever,J.Fowler,K.Stanton,V.Charles,J.Anstiss,S.Francis,S.Aryang,C.Bruce,16.916666666666668,-3,-2.6600985221674875
Thunderbirds,L.Potgieter,S.Gooden,C.Pitman,M.Nankivell,S.van der Merwe,K.Shimmin,S.Sterling,16.133333333333333,-3,-2.7892561983471076
Lightning,P.Proscovia,C.Koenen,L.Scherian,L.Langman,M.McAuliffe,K.Pretorius,P.Maweni,47.2,-9,-2.8601694915254234
Firebirds,R.Aiken,T.Dwan,M.Gardner,M.Cassidy,G.Simpson,K.Jenner,T.Hinchliffe,44.63333333333333,-9,-3.0246452576549663
Magpies,E.Ryde,G.Sinclair,K.Browne,M.Browne,M.Bragg,M.Garrett,G.Mentor,19.183333333333334,-4,-3.1277150304083405
Magpies,E.Ryde,G.Sinclair,K.Browne,M.Browne,M.Bragg,J.Ward,G.Mentor,48.96666666666667,-11,-3.3696392103471746
Thunderbirds,L.Potgieter,S.Glasgow,C.Pitman,H.Petty,S.van der Merwe,L.Guscoth,S.Sterling,16.033333333333335,-4,-3.742203742203742
Lightning,P.Proscovia,C.Koenen,L.Scherian,L.Langman,J.Russell,K.Pretorius,P.Maweni,17.7,-5,-4.237288135593221
Thunderbirds,L.Potgieter,S.Gooden,C.Pitman,H.Petty,M.Nankivell,S.van der Merwe,S.Sterling,21.1,-6,-4.265402843601895
Swifts,S.Wallace,H.Housby,N.Haythornthwaite,M.Proud,P.Hadley,M.Turner,S.Klau,43.36666666666667,-13,-4.4965411222136815
Firebirds,R.Aiken,T.Dwan,J.Mi Mi,M.Cassidy,G.Simpson,K.Jenner,R.Ellis,38.35,-12,-4.69361147327249
GIANTS,J.Harten,K.Austin,M.Hay,J.Price,A.Brandley,K.Manu'a,S.Poolman,18.083333333333332,-6,-4.976958525345623
Swifts,S.Garbin,H.Housby,N.Haythornthwaite,P.Hadley,S.Craig,L.Moore,S.Klau,17.116666666666667,-6,-5.258033106134372
Firebirds,R.Aiken,I.Venter,J.Mi Mi,M.Cassidy,G.Simpson,K.Jenner,T.Hinchliffe,23.766666666666666,-10,-6.3113604488078545
GIANTS,J.Harten,K.Austin,A.Parmenter,J.Price,K.Manu'a,A.Brandley,S.Poolman,23.716666666666665,-10,-6.324666198172874
Swifts,S.Wallace,H.Housby,N.Haythornthwaite,P.Hadley,S.Craig,M.Turner,S.Klau,19.95,-10,-7.518796992481204
GIANTS,J.Harten,K.Austin,M.Hay,J.Price,A.Parmenter,K.Manu'a,A.Brandley,15.066666666666666,-9,-8.960176991150442
Lightning,C.Koenen,S.Wood,L.Scherian,M.McAuliffe,J.Russell,K.Pretorius,A.Lee-Jones,15.0,-10,-10.0
Magpies,S.Nelson,G.Sinclair,K.Browne,K.Altmann,M.Bragg,J.Ward,G.Mentor,21.05,-15,-10.688836104513063
